method,n_real,n_syn,seed,class,f1
noise_aug,2,40,10,healthy,0.0
noise_aug,2,40,10,worn,0.6923076923076923
rule,2,40,10,healthy,0.8554913294797688
rule,2,40,10,worn,0.8936170212765957
random_open_loop,2,40,10,healthy,0.8260869565217391
random_open_loop,2,40,10,worn,0.8571428571428571
LLM_synthetic,2,40,10,healthy,0.8409090909090909
LLM_synthetic,2,40,10,worn,0.8793103448275862
real_only,2,10,11,healthy,0.8035714285714286
real_only,2,10,11,worn,0.7608695652173914
noise_aug,2,10,11,healthy,0.8260869565217391
noise_aug,2,10,11,worn,0.7752808988764045
rule,2,10,11,healthy,0.8205128205128205
rule,2,10,11,worn,0.7586206896551724
random_open_loop,2,10,11,healthy,0.8205128205128205
random_open_loop,2,10,11,worn,0.7586206896551724
LLM_synthetic,2,10,11,healthy,0.803347280334728
LLM_synthetic,2,10,11,worn,0.7218934911242604
real_only,2,20,11,healthy,0.8193832599118943
real_only,2,20,11,worn,0.7734806629834254
noise_aug,2,20,11,healthy,0.7818181818181819
noise_aug,2,20,11,worn,0.7446808510638298
rule,2,20,11,healthy,0.8205128205128205
rule,2,20,11,worn,0.7586206896551724
random_open_loop,2,20,11,healthy,0.8170212765957446
random_open_loop,2,20,11,worn,0.7514450867052023
LLM_synthetic,2,20,11,healthy,0.7966804979253111
LLM_synthetic,2,20,11,worn,0.7065868263473054
real_only,2,40,11,healthy,0.8125
real_only,2,40,11,worn,0.7717391304347826
noise_aug,2,40,11,healthy,0.8105726872246696
noise_aug,2,40,11,worn,0.7624309392265194
rule,2,40,11,healthy,0.810126582278481
rule,2,40,11,worn,0.7368421052631579
random_open_loop,2,40,11,healthy,0.803347280334728
random_open_loop,2,40,11,worn,0.7218934911242604
LLM_synthetic,2,40,11,healthy,0.7649402390438247
LLM_synthetic,2,40,11,worn,0.6242038216560509
real_only,2,10,12,healthy,0.6835443037974683
real_only,2,10,12,worn,0.5614035087719298
noise_aug,2,10,12,healthy,0.6872246696035242
noise_aug,2,10,12,worn,0.6077348066298343
rule,2,10,12,healthy,0.7981651376146789
rule,2,10,12,worn,0.7684210526315789
random_open_loop,2,10,12,healthy,0.7644444444444445
random_open_loop,2,10,12,worn,0.7103825136612022
LLM_synthetic,2,10,12,healthy,0.7733333333333333
LLM_synthetic,2,10,12,worn,0.7213114754098361
real_only,2,20,12,healthy,0.7063829787234043
real_only,2,20,12,worn,0.6011560693641619
noise_aug,2,20,12,healthy,0.5566037735849056
noise_aug,2,20,12,worn,0.5204081632653061
rule,2,20,12,healthy,0.7945205479452054
rule,2,20,12,worn,0.7619047619047619
random_open_loop,2,20,12,healthy,0.7758620689655172
random_open_loop,2,20,12,worn,0.7045454545454546
LLM_synthetic,2,20,12,healthy,0.7857142857142857
LLM_synthetic,2,20,12,worn,0.7391304347826086
real_only,2,40,12,healthy,0.7094017094017094
real_only,2,40,12,worn,0.6091954022988506
noise_aug,2,40,12,healthy,0.6607142857142857
noise_aug,2,40,12,worn,0.5869565217391305
rule,2,40,12,healthy,0.8036529680365296
rule,2,40,12,worn,0.7724867724867724
random_open_loop,2,40,12,healthy,0.7982062780269058
random_open_loop,2,40,12,worn,0.7567567567567568
LLM_synthetic,2,40,12,healthy,0.7892376681614349
LLM_synthetic,2,40,12,worn,0.745945945945946
real_only,2,10,13,healthy,0.7315175097276264
real_only,2,10,13,worn,0.543046357615894
noise_aug,2,10,13,healthy,0.7449392712550608
noise_aug,2,10,13,worn,0.6086956521739131
rule,2,10,13,healthy,0.7763713080168776
rule,2,10,13,worn,0.6900584795321637
random_open_loop,2,10,13,healthy,0.7679324894514767
random_open_loop,2,10,13,worn,0.6783625730994152
LLM_synthetic,2,10,13,healthy,0.7551867219917012
LLM_synthetic,2,10,13,worn,0.6467065868263473
real_only,2,20,13,healthy,0.7250996015936255
real_only,2,20,13,worn,0.5605095541401274
noise_aug,2,20,13,healthy,0.7899159663865546
noise_aug,2,20,13,worn,0.7058823529411765
rule,2,20,13,healthy,0.7551867219917012
rule,2,20,13,worn,0.6467065868263473
random_open_loop,2,20,13,healthy,0.7829787234042553
random_open_loop,2,20,13,worn,0.7052023121387283
LLM_synthetic,2,20,13,healthy,0.75
LLM_synthetic,2,20,13,worn,0.6125
real_only,2,40,13,healthy,0.7286821705426356
real_only,2,40,13,worn,0.5333333333333333
noise_aug,2,40,13,healthy,0.788135593220339
noise_aug,2,40,13,worn,0.7093023255813954
rule,2,40,13,healthy,0.7833333333333333
rule,2,40,13,worn,0.6904761904761905
random_open_loop,2,40,13,healthy,0.7829787234042553
random_open_loop,2,40,13,worn,0.7052023121387283
LLM_synthetic,2,40,13,healthy,0.7540983606557377
LLM_synthetic,2,40,13,worn,0.6341463414634146
real_only,2,10,14,healthy,0.7300380228136882
real_only,2,10,14,worn,0.5103448275862069
noise_aug,2,10,14,healthy,0.7413127413127413
noise_aug,2,10,14,worn,0.5503355704697986
rule,2,10,14,healthy,0.7470817120622568
rule,2,10,14,worn,0.5695364238410596
random_open_loop,2,10,14,healthy,0.7649402390438247
random_open_loop,2,10,14,worn,0.6242038216560509
LLM_synthetic,2,10,14,healthy,0.7413127413127413
LLM_synthetic,2,10,14,worn,0.5503355704697986
real_only,2,20,14,healthy,0.7384615384615385
real_only,2,20,14,worn,0.5405405405405406
noise_aug,2,20,14,healthy,0.7649402390438247
noise_aug,2,20,14,worn,0.6242038216560509
rule,2,20,14,healthy,0.75
rule,2,20,14,worn,0.5789473684210527
random_open_loop,2,20,14,healthy,0.7619047619047619
random_open_loop,2,20,14,worn,0.6153846153846154
LLM_synthetic,2,20,14,healthy,0.7470817120622568
LLM_synthetic,2,20,14,worn,0.5695364238410596
real_only,2,40,14,healthy,0.732824427480916
real_only,2,40,14,worn,0.5205479452054794
noise_aug,2,40,14,healthy,0.75
noise_aug,2,40,14,worn,0.5789473684210527
rule,2,40,14,healthy,0.7619047619047619
rule,2,40,14,worn,0.6153846153846154
random_open_loop,2,40,14,healthy,0.7649402390438247
random_open_loop,2,40,14,worn,0.6242038216560509
LLM_synthetic,2,40,14,healthy,0.7384615384615385
LLM_synthetic,2,40,14,worn,0.5405405405405406
real_only,2,10,15,healthy,0.6255506607929515
real_only,2,10,15,worn,0.5303867403314917
noise_aug,2,10,15,healthy,0.5767441860465117
noise_aug,2,10,15,worn,0.5284974093264249
rule,2,10,15,healthy,0.768
rule,2,10,15,worn,0.6329113924050633
random_open_loop,2,10,15,healthy,0.7710843373493976
random_open_loop,2,10,15,worn,0.6415094339622641
LLM_synthetic,2,10,15,healthy,0.7710843373493976
LLM_synthetic,2,10,15,worn,0.6415094339622641
real_only,2,20,15,healthy,0.6491228070175439
real_only,2,20,15,worn,0.5555555555555556
noise_aug,2,20,15,healthy,0.5358851674641149
noise_aug,2,20,15,worn,0.5125628140703518
rule,2,20,15,healthy,0.7710843373493976
rule,2,20,15,worn,0.6415094339622641
random_open_loop,2,20,15,healthy,0.7710843373493976
random_open_loop,2,20,15,worn,0.6415094339622641
LLM_synthetic,2,20,15,healthy,0.7710843373493976
LLM_synthetic,2,20,15,worn,0.6415094339622641
real_only,2,40,15,healthy,0.6153846153846154
real_only,2,40,15,worn,0.5454545454545454
noise_aug,2,40,15,healthy,0.658008658008658
noise_aug,2,40,15,worn,0.5536723163841808
rule,2,40,15,healthy,0.7710843373493976
rule,2,40,15,worn,0.6415094339622641
random_open_loop,2,40,15,healthy,0.7710843373493976
random_open_loop,2,40,15,worn,0.6415094339622641
LLM_synthetic,2,40,15,healthy,0.7710843373493976
LLM_synthetic,2,40,15,worn,0.6415094339622641
real_only,2,10,16,healthy,0.7736625514403292
real_only,2,10,16,worn,0.6666666666666666
noise_aug,2,10,16,healthy,0.7531380753138075
noise_aug,2,10,16,worn,0.650887573964497
rule,2,10,16,healthy,0.7883817427385892
rule,2,10,16,worn,0.6946107784431138
random_open_loop,2,10,16,healthy,0.7868852459016393
random_open_loop,2,10,16,worn,0.6829268292682927
LLM_synthetic,2,10,16,healthy,0.7851239669421488
LLM_synthetic,2,10,16,worn,0.6867469879518072
real_only,2,20,16,healthy,0.7736625514403292
real_only,2,20,16,worn,0.6666666666666666
noise_aug,2,20,16,healthy,0.7531380753138075
noise_aug,2,20,16,worn,0.650887573964497
rule,2,20,16,healthy,0.7901234567901234
rule,2,20,16,worn,0.6909090909090909
random_open_loop,2,20,16,healthy,0.7966804979253111
random_open_loop,2,20,16,worn,0.7065868263473054
LLM_synthetic,2,20,16,healthy,0.7773279352226721
LLM_synthetic,2,20,16,worn,0.6583850931677019
real_only,2,40,16,healthy,0.7673469387755102
real_only,2,40,16,worn,0.6503067484662577
noise_aug,2,40,16,healthy,0.7634854771784232
noise_aug,2,40,16,worn,0.6586826347305389
rule,2,40,16,healthy,0.7773279352226721
rule,2,40,16,worn,0.6583850931677019
random_open_loop,2,40,16,healthy,0.7836734693877551
random_open_loop,2,40,16,worn,0.6748466257668712
LLM_synthetic,2,40,16,healthy,0.7773279352226721
LLM_synthetic,2,40,16,worn,0.6583850931677019
real_only,2,10,17,healthy,0.5862068965517241
real_only,2,10,17,worn,0.6923076923076923
noise_aug,2,10,17,healthy,0.6979166666666666
noise_aug,2,10,17,worn,0.7314814814814815
rule,2,10,17,healthy,0.7725321888412017
rule,2,10,17,worn,0.6971428571428572
random_open_loop,2,10,17,healthy,0.7644444444444445
random_open_loop,2,10,17,worn,0.7103825136612022
LLM_synthetic,2,10,17,healthy,0.782608695652174
LLM_synthetic,2,10,17,worn,0.7191011235955056
real_only,2,20,17,healthy,0.5125
real_only,2,20,17,worn,0.6854838709677419
noise_aug,2,20,17,healthy,0.43137254901960786
noise_aug,2,20,17,worn,0.6588235294117647
rule,2,20,17,healthy,0.7591836734693878
rule,2,20,17,worn,0.6380368098159509
random_open_loop,2,20,17,healthy,0.7606837606837606
random_open_loop,2,20,17,worn,0.6781609195402298
LLM_synthetic,2,20,17,healthy,0.7542372881355932
LLM_synthetic,2,20,17,worn,0.6627906976744186
real_only,2,40,17,healthy,0.6222222222222222
real_only,2,40,17,worn,0.7017543859649122
noise_aug,2,40,17,healthy,0.4342105263157895
noise_aug,2,40,17,worn,0.6640625
rule,2,40,17,healthy,0.7755102040816326
rule,2,40,17,worn,0.6625766871165644
random_open_loop,2,40,17,healthy,0.768595041322314
random_open_loop,2,40,17,worn,0.6626506024096386
LLM_synthetic,2,40,17,healthy,0.7478991596638656
LLM_synthetic,2,40,17,worn,0.6470588235294118
real_only,2,10,18,healthy,0.7665198237885462
real_only,2,10,18,worn,0.7071823204419889
noise_aug,2,10,18,healthy,0.7619047619047619
noise_aug,2,10,18,worn,0.6892655367231638
rule,2,10,18,healthy,0.7647058823529411
rule,2,10,18,worn,0.6705882352941176
random_open_loop,2,10,18,healthy,0.7659574468085106
random_open_loop,2,10,18,worn,0.6820809248554913
LLM_synthetic,2,10,18,healthy,0.7647058823529411
LLM_synthetic,2,10,18,worn,0.6705882352941176
real_only,2,20,18,healthy,0.7631578947368421
real_only,2,20,18,worn,0.7
noise_aug,2,20,18,healthy,0.7543859649122807
noise_aug,2,20,18,worn,0.6888888888888889
rule,2,20,18,healthy,0.768595041322314
rule,2,20,18,worn,0.6626506024096386
