method,n_real,n_syn,seed,condition_id,n,acc,macro_f1
random_open_loop,2,20,3,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8854166666666666,0.8838922484881804
random_open_loop,2,20,3,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5277777777777778,0.45696539485359355
LLM_synthetic,2,20,3,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8854166666666666,0.8838922484881804
LLM_synthetic,2,20,3,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.48148148148148145,0.3782894736842105
real_only,2,40,3,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8854166666666666,0.88440065681445
real_only,2,40,3,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.4444444444444444,0.3076923076923077
noise_aug,2,40,3,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.875,0.8741258741258742
noise_aug,2,40,3,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.4444444444444444,0.3076923076923077
rule,2,40,3,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.875,0.873015873015873
rule,2,40,3,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5092592592592593,0.42662526294700986
random_open_loop,2,40,3,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8854166666666666,0.8838922484881804
random_open_loop,2,40,3,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.5
LLM_synthetic,2,40,3,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8854166666666666,0.8838922484881804
LLM_synthetic,2,40,3,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.4537037037037037,0.32607086197778956
real_only,2,10,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
real_only,2,10,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6203703703703703,0.6163908862514078
noise_aug,2,10,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8854166666666666,0.88440065681445
noise_aug,2,10,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5092592592592593,0.4814747712655132
rule,2,10,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
rule,2,10,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.7222222222222222,0.7142857142857142
random_open_loop,2,10,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
random_open_loop,2,10,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.7129629629629629,0.7037954525347253
LLM_synthetic,2,10,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
LLM_synthetic,2,10,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.7037037037037037,0.6931818181818181
real_only,2,20,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
real_only,2,20,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6944444444444444,0.6937881261276742
noise_aug,2,20,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8854166666666666,0.88440065681445
noise_aug,2,20,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5,0.49375
rule,2,20,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
rule,2,20,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.7037037037037037,0.6931818181818181
random_open_loop,2,20,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
random_open_loop,2,20,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6759259259259259,0.6605298607992816
LLM_synthetic,2,20,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
LLM_synthetic,2,20,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6481481481481481,0.6265016381507098
real_only,2,40,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
real_only,2,40,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6759259259259259,0.6745587602238485
noise_aug,2,40,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
noise_aug,2,40,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6296296296296297,0.6284829721362228
rule,2,40,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
rule,2,40,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6851851851851852,0.6715563506261181
random_open_loop,2,40,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
random_open_loop,2,40,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6481481481481481,0.6265016381507098
LLM_synthetic,2,40,4,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
LLM_synthetic,2,40,4,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6666666666666666,0.6493506493506493
real_only,2,10,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.5833333333333334,0.4957983193277311
real_only,2,10,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.8425925925925926,0.8336805870096928
noise_aug,2,10,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.5520833333333334,0.43966336364870373
noise_aug,2,10,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.8055555555555556,0.8006153846153846
rule,2,10,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8333333333333334,0.8285714285714285
rule,2,10,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.8611111111111112,0.8545127974854063
random_open_loop,2,10,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7708333333333334,0.7581310123683005
random_open_loop,2,10,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.7407407407407407,0.7384987893462469
LLM_synthetic,2,10,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7708333333333334,0.7581310123683005
LLM_synthetic,2,10,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.7037037037037037,0.7027863777089783
real_only,2,20,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.59375,0.5134502923976608
real_only,2,20,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.8425925925925926,0.8336805870096928
noise_aug,2,20,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.6145833333333334,0.5473429336051994
noise_aug,2,20,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.8425925925925926,0.835114503816794
rule,2,20,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8229166666666666,0.8171838243530861
rule,2,20,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.7592592592592593,0.7579310344827586
random_open_loop,2,20,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.78125,0.7723320158102767
random_open_loop,2,20,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.7777777777777778,0.7758561051539259
LLM_synthetic,2,20,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.78125,0.7702564102564102
LLM_synthetic,2,20,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6666666666666666,0.6665523156089194
real_only,2,40,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.6041666666666666,0.5306227483273289
real_only,2,40,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.8148148148148148,0.8014705882352942
noise_aug,2,40,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.625,0.5636363636363637
noise_aug,2,40,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.8055555555555556,0.7993453065557816
rule,2,40,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8541666666666666,0.8518518518518519
rule,2,40,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6666666666666666,0.6666666666666666
random_open_loop,2,40,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8229166666666666,0.8171838243530861
random_open_loop,2,40,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.7037037037037037,0.7036020583190394
LLM_synthetic,2,40,5,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7708333333333334,0.7581310123683005
LLM_synthetic,2,40,5,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6759259259259259,0.6756756756756757
real_only,2,10,6,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.875,0.8736287845546292
real_only,2,10,6,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6388888888888888,0.6148148148148148
noise_aug,2,10,6,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8951048951048951
noise_aug,2,10,6,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6574074074074074,0.6380106893740375
rule,2,10,6,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.9166666666666666,0.9165217391304348
rule,2,10,6,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.75,0.7473793641167807
random_open_loop,2,10,6,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.9166666666666666,0.9165217391304348
random_open_loop,2,10,6,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.7407407407407407,0.7384987893462469
LLM_synthetic,2,10,6,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.9166666666666666,0.9165217391304348
LLM_synthetic,2,10,6,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.7314814814814815,0.7286667244217274
real_only,2,20,6,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8541666666666666,0.8518518518518519
real_only,2,20,6,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6759259259259259,0.6605298607992816
noise_aug,2,20,6,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8951048951048951
