n_syn,selected_n_syn,n_real,metric,comparison,p_raw,mean_delta,median_delta,win_rate,effect_size_mean_over_sd,holm_q
10,False,10,acc,LLM_synthetic>random_open_loop,0.3469480709213396,0.0022058823529411743,0.0,0.35,0.1629221769205773,0.9794122872543842
10,False,10,acc,LLM_synthetic>real_only,0.017922174432893283,0.007843137254901943,0.002450980392156854,0.5,0.5756171903401821,
10,False,10,macro_f1,LLM_synthetic>noise_aug,0.37548699624893894,0.0031458911850601014,0.0006986301265365924,0.5,0.14854780558407665,0.8442315816274732
10,False,10,macro_f1,LLM_synthetic>rule,0.28141052720915777,0.0023208109609880847,-0.002070118770277407,0.45,0.16198934102665877,0.8442315816274732
10,False,10,macro_f1,LLM_synthetic>random_open_loop,0.3071338365921865,0.0024584904847365476,0.0001565724071954655,0.5,0.16031305132946888,0.8442315816274732
10,False,10,macro_f1,LLM_synthetic>real_only,0.008016423214546937,0.00905871381803064,0.003887588281223653,0.7,0.5837619252915681,
20,True,2,acc,LLM_synthetic>noise_aug,0.0037769926944918072,0.06446078431372546,0.022058823529411686,0.75,0.6531932388607743,0.011330978083475421
20,True,2,acc,LLM_synthetic>rule,0.9978963704456815,-0.012990196078431382,-0.01470588235294118,0.15,-0.7128803815065399,1.0
20,True,2,acc,LLM_synthetic>random_open_loop,0.995584631647874,-0.015196078431372561,-0.014705882352941235,0.2,-0.7352053719640982,1.0
20,True,2,acc,LLM_synthetic>real_only,0.0013209805467638983,0.04852941176470588,0.022058823529411797,0.8,0.7011621680155167,
20,True,2,macro_f1,LLM_synthetic>noise_aug,0.004717826843261719,0.07341837461306358,0.02627395287586104,0.75,0.5646774585009938,0.014153480529785156
20,True,2,macro_f1,LLM_synthetic>rule,0.996415490272853,-0.014115422759707452,-0.015017187411128008,0.2,-0.6985073364736434,1.0
20,True,2,macro_f1,LLM_synthetic>random_open_loop,0.9938281085751617,-0.01736111433421378,-0.015467771124573482,0.25,-0.7296340145198545,1.0
20,True,2,macro_f1,LLM_synthetic>real_only,0.0011625289916992188,0.05659079396447016,0.02422857465019229,0.8,0.6381696103471968,
20,True,5,acc,LLM_synthetic>noise_aug,0.013722626383654412,0.02328431372549019,0.009803921568627416,0.6,0.5510506409675248,0.04116787915096323
20,True,5,acc,LLM_synthetic>rule,0.8653733336056119,-0.003921568627450983,0.0,0.3,-0.2874172848665597,0.8653733336056119
20,True,5,acc,LLM_synthetic>random_open_loop,0.24430322293717677,0.003186274509803916,0.0,0.4,0.22501270154227457,0.48860644587435353
20,True,5,acc,LLM_synthetic>real_only,0.004709897591147819,0.0284313725490196,0.019607843137254888,0.75,0.6586791841985233,
20,True,5,macro_f1,LLM_synthetic>noise_aug,0.013158984884319136,0.028027046974571694,0.010357335941685475,0.65,0.5675157811444664,0.039476954652957405
20,True,5,macro_f1,LLM_synthetic>rule,0.8688469080096346,-0.003871014306411186,-0.00013356983542317513,0.3,-0.26038286049821735,0.8688469080096346
20,True,5,macro_f1,LLM_synthetic>random_open_loop,0.19013628984858272,0.0037035464214137336,0.00039808792315221275,0.5,0.2452750215969527,0.38027257969716544
20,True,5,macro_f1,LLM_synthetic>real_only,0.004154205322265625,0.03336212201310507,0.022181694885162917,0.75,0.6717579342959287,
20,True,10,acc,LLM_synthetic>noise_aug,0.042579455664520476,0.00784313725490195,0.002450980392156854,0.5,0.4996918968270661,0.12773836699356142
20,True,10,acc,LLM_synthetic>rule,0.0913822491000858,0.002941176470588225,0.007352941176470618,0.7,0.20372740209206502,0.1827644982001716
20,True,10,acc,LLM_synthetic>random_open_loop,0.09834888337759584,0.004901960784313719,0.002450980392156854,0.5,0.29796819749459513,0.1827644982001716
20,True,10,acc,LLM_synthetic>real_only,0.013520535857635085,0.009558823529411753,0.009803921568627416,0.65,0.571826672464422,
