baseline,n_real,seed,actual,predicted,n
majority,5,1,worn,healthy,9
majority,5,1,worn,worn,0
metadata_safe,5,1,healthy,healthy,4
metadata_safe,5,1,healthy,worn,4
metadata_safe,5,1,worn,healthy,5
metadata_safe,5,1,worn,worn,4
metadata_leaky_diagnostic,5,1,healthy,healthy,6
metadata_leaky_diagnostic,5,1,healthy,worn,2
metadata_leaky_diagnostic,5,1,worn,healthy,3
metadata_leaky_diagnostic,5,1,worn,worn,6
real_only,5,1,healthy,healthy,8
real_only,5,1,healthy,worn,0
real_only,5,1,worn,healthy,6
real_only,5,1,worn,worn,3
noise_aug,5,1,healthy,healthy,8
noise_aug,5,1,healthy,worn,0
noise_aug,5,1,worn,healthy,6
noise_aug,5,1,worn,worn,3
random_open_loop,5,1,healthy,healthy,8
random_open_loop,5,1,healthy,worn,0
random_open_loop,5,1,worn,healthy,9
random_open_loop,5,1,worn,worn,0
rule,5,1,healthy,healthy,8
rule,5,1,healthy,worn,0
rule,5,1,worn,healthy,7
rule,5,1,worn,worn,2
majority,5,2,healthy,healthy,8
majority,5,2,healthy,worn,0
majority,5,2,worn,healthy,9
majority,5,2,worn,worn,0
metadata_safe,5,2,healthy,healthy,0
metadata_safe,5,2,healthy,worn,8
metadata_safe,5,2,worn,healthy,0
metadata_safe,5,2,worn,worn,9
metadata_leaky_diagnostic,5,2,healthy,healthy,6
metadata_leaky_diagnostic,5,2,healthy,worn,2
metadata_leaky_diagnostic,5,2,worn,healthy,0
metadata_leaky_diagnostic,5,2,worn,worn,9
real_only,5,2,healthy,healthy,8
real_only,5,2,healthy,worn,0
real_only,5,2,worn,healthy,4
real_only,5,2,worn,worn,5
noise_aug,5,2,healthy,healthy,5
noise_aug,5,2,healthy,worn,3
noise_aug,5,2,worn,healthy,3
noise_aug,5,2,worn,worn,6
random_open_loop,5,2,healthy,healthy,8
random_open_loop,5,2,healthy,worn,0
random_open_loop,5,2,worn,healthy,4
random_open_loop,5,2,worn,worn,5
rule,5,2,healthy,healthy,8
rule,5,2,healthy,worn,0
rule,5,2,worn,healthy,5
rule,5,2,worn,worn,4
majority,5,3,healthy,healthy,8
majority,5,3,healthy,worn,0
majority,5,3,worn,healthy,9
majority,5,3,worn,worn,0
metadata_safe,5,3,healthy,healthy,0
metadata_safe,5,3,healthy,worn,8
metadata_safe,5,3,worn,healthy,0
metadata_safe,5,3,worn,worn,9
metadata_leaky_diagnostic,5,3,healthy,healthy,4
metadata_leaky_diagnostic,5,3,healthy,worn,4
metadata_leaky_diagnostic,5,3,worn,healthy,0
metadata_leaky_diagnostic,5,3,worn,worn,9
real_only,5,3,healthy,healthy,8
real_only,5,3,healthy,worn,0
real_only,5,3,worn,healthy,2
real_only,5,3,worn,worn,7
noise_aug,5,3,healthy,healthy,8
noise_aug,5,3,healthy,worn,0
noise_aug,5,3,worn,healthy,2
noise_aug,5,3,worn,worn,7
random_open_loop,5,3,healthy,healthy,8
random_open_loop,5,3,healthy,worn,0
random_open_loop,5,3,worn,healthy,2
random_open_loop,5,3,worn,worn,7
rule,5,3,healthy,healthy,8
rule,5,3,healthy,worn,0
rule,5,3,worn,healthy,5
rule,5,3,worn,worn,4
majority,5,4,healthy,healthy,8
majority,5,4,healthy,worn,0
majority,5,4,worn,healthy,9
majority,5,4,worn,worn,0
metadata_safe,5,4,healthy,healthy,4
metadata_safe,5,4,healthy,worn,4
metadata_safe,5,4,worn,healthy,5
metadata_safe,5,4,worn,worn,4
metadata_leaky_diagnostic,5,4,healthy,healthy,8
metadata_leaky_diagnostic,5,4,healthy,worn,0
metadata_leaky_diagnostic,5,4,worn,healthy,3
