method,class,feature,real_median,method_median,median_delta,robust_z_delta,relative_delta,hist_overlap
rule,worn,ch4_tooth_rms_cv,0.092819776,0.10204246,0.0092226801,0.349295,0.099361,0.404325
rule,worn,ch4_tpf_amp_ratio,0.09969216,0.10857628,0.008884123,0.136357,0.089116,0.399308
rule,worn,ch5_band0_frac,0.10096725,0.1249087,0.023941447,0.234975,0.237121,0.576990
rule,worn,ch5_band1_frac,0.15848011,0.15625927,-0.002220842,-0.019952,-0.014013,0.496194
rule,worn,ch5_band2_frac,0.20902555,0.20427593,-0.0047496238,-0.031084,-0.022723,0.534083
rule,worn,ch5_band3_frac,0.12866466,0.15803519,0.029370534,0.547233,0.228272,0.523702
rule,worn,ch5_band4_frac,0.19493272,0.20951509,0.014582375,0.100493,0.074807,0.420069
rule,worn,ch5_band5_frac,0.038745999,0.046731385,0.0079853861,0.318012,0.206096,0.554152
rule,worn,ch5_crest,1.4391154,1.4423162,0.0032007331,0.021145,0.002224,0.428720
rule,worn,ch5_kurtosis,3.0646275,3.1145542,0.049926653,0.104704,0.016291,0.776298
rule,worn,ch5_rms,0.27141423,0.27236716,0.0009529396,0.011800,0.003511,0.069204
rule,worn,ch5_skewness,0.46580583,0.49174565,0.025939812,0.105242,0.055688,0.613841
rule,worn,ch5_tooth_rms_cv,0.096988144,0.10078869,0.0038005472,0.116478,0.039186,0.483391
rule,worn,ch5_tpf_amp_ratio,0.083804966,0.095690255,0.011885289,0.213800,0.141821,0.492734
rule,worn,energy_frac_ch0,0.060060728,0.060266461,0.00020573374,0.025687,0.003425,0.550173
rule,worn,energy_frac_ch1,0.91149112,0.92114509,0.0096539687,0.430419,0.010591,0.164360
rule,worn,energy_frac_ch2,0.01203369,0.014117248,0.0020835572,0.187414,0.173144,0.140138
rule,worn,energy_frac_ch3,0.0018328183,0.0017886243,-4.419397e-05,-0.031784,-0.024113,0.231834
rule,worn,energy_frac_ch4,0.0010050075,0.0010593832,5.4375698e-05,0.146283,0.054105,0.344291
rule,worn,energy_frac_ch5,0.0016637536,0.0015758717,-8.788188e-05,-0.084168,-0.052821,0.157439
rule,worn,high_band_frac,0.007603618,0.0084994509,0.00089583293,0.254858,0.117817,0.861592
rule,worn,total_rms,2.7796699,2.7879812,0.0083112409,0.005918,0.002990,0.070934
rule,severe,ch0_band0_frac,0.0038062973,0.0055768053,0.001770508,0.918450,0.465152,0.418182
rule,severe,ch0_band1_frac,0.98379391,0.98132782,-0.0024660922,-0.410741,-0.002507,0.430749
rule,severe,ch0_band2_frac,0.0021466928,0.0033331731,0.0011864803,0.701452,0.552701,0.540642
