method,class,channel,band,real_frac,method_frac,delta
random_open_loop,severe,AE_spindle,0-8,0.234738,0.105060,-0.129678
random_open_loop,severe,AE_spindle,8-20,0.150976,0.209523,0.058547
random_open_loop,severe,AE_spindle,20-40,0.150509,0.221453,0.070944
random_open_loop,severe,AE_spindle,40-70,0.099786,0.142781,0.042995
random_open_loop,severe,AE_spindle,70-100,0.334079,0.269819,-0.064261
random_open_loop,severe,AE_spindle,100-125,0.029911,0.051365,0.021453
noise_aug,sharp,smcAC,0-8,0.010713,0.007944,-0.002769
noise_aug,sharp,smcAC,8-20,0.972054,0.975083,0.003028
noise_aug,sharp,smcAC,20-40,0.007453,0.005524,-0.001929
noise_aug,sharp,smcAC,40-70,0.003466,0.003909,0.000443
noise_aug,sharp,smcAC,70-100,0.003211,0.004263,0.001053
noise_aug,sharp,smcAC,100-125,0.003103,0.003277,0.000174
noise_aug,sharp,smcDC,0-8,0.841144,0.572685,-0.268459
noise_aug,sharp,smcDC,8-20,0.071300,0.081238,0.009939
noise_aug,sharp,smcDC,20-40,0.056334,0.105368,0.049034
noise_aug,sharp,smcDC,40-70,0.025449,0.094761,0.069312
noise_aug,sharp,smcDC,70-100,0.005436,0.081768,0.076332
noise_aug,sharp,smcDC,100-125,0.000338,0.064179,0.063841
noise_aug,sharp,vib_table,0-8,0.027573,0.015257,-0.012317
noise_aug,sharp,vib_table,8-20,0.414325,0.466009,0.051684
noise_aug,sharp,vib_table,20-40,0.253753,0.262928,0.009175
noise_aug,sharp,vib_table,40-70,0.128963,0.155035,0.026073
noise_aug,sharp,vib_table,70-100,0.165860,0.089403,-0.076457
noise_aug,sharp,vib_table,100-125,0.009526,0.011367,0.001841
noise_aug,sharp,vib_spindle,0-8,0.106931,0.240817,0.133886
noise_aug,sharp,vib_spindle,8-20,0.299465,0.228892,-0.070573
noise_aug,sharp,vib_spindle,20-40,0.143018,0.168711,0.025692
noise_aug,sharp,vib_spindle,40-70,0.236568,0.191188,-0.045380
noise_aug,sharp,vib_spindle,70-100,0.156027,0.103303,-0.052724
noise_aug,sharp,vib_spindle,100-125,0.057991,0.067089,0.009098
noise_aug,sharp,AE_table,0-8,0.066627,0.040257,-0.026369
noise_aug,sharp,AE_table,8-20,0.356623,0.397013,0.040390
noise_aug,sharp,AE_table,20-40,0.223879,0.214824,-0.009055
noise_aug,sharp,AE_table,40-70,0.139254,0.157108,0.017854
noise_aug,sharp,AE_table,70-100,0.166297,0.135899,-0.030399
noise_aug,sharp,AE_table,100-125,0.047321,0.054899,0.007579
noise_aug,sharp,AE_spindle,0-8,0.041541,0.032212,-0.009329
noise_aug,sharp,AE_spindle,8-20,0.373351,0.383992,0.010641
noise_aug,sharp,AE_spindle,20-40,0.325461,0.336292,0.010831
noise_aug,sharp,AE_spindle,40-70,0.131478,0.138009,0.006531
noise_aug,sharp,AE_spindle,70-100,0.085430,0.067369,-0.018061
noise_aug,sharp,AE_spindle,100-125,0.042739,0.042126,-0.000613
noise_aug,worn,smcAC,0-8,0.004151,0.007291,0.003141
noise_aug,worn,smcAC,8-20,0.985060,0.977897,-0.007163
noise_aug,worn,smcAC,20-40,0.003068,0.005238,0.002170
noise_aug,worn,smcAC,40-70,0.002552,0.002784,0.000233
noise_aug,worn,smcAC,70-100,0.002816,0.003206,0.000390
noise_aug,worn,smcAC,100-125,0.002354,0.003583,0.001229
noise_aug,worn,smcDC,0-8,0.927060,0.757174,-0.169886
noise_aug,worn,smcDC,8-20,0.025119,0.046917,0.021798
noise_aug,worn,smcDC,20-40,0.040522,0.064372,0.023850
noise_aug,worn,smcDC,40-70,0.006290,0.052933,0.046643
noise_aug,worn,smcDC,70-100,0.000814,0.042901,0.042087
noise_aug,worn,smcDC,100-125,0.000195,0.035703,0.035508
noise_aug,worn,vib_table,0-8,0.052770,0.054850,0.002080
noise_aug,worn,vib_table,8-20,0.214616,0.156025,-0.058591
noise_aug,worn,vib_table,20-40,0.287798,0.338437,0.050639
noise_aug,worn,vib_table,40-70,0.114899,0.209464,0.094565
noise_aug,worn,vib_table,70-100,0.317423,0.223604,-0.093819
noise_aug,worn,vib_table,100-125,0.012494,0.017621,0.005127
noise_aug,worn,vib_spindle,0-8,0.110530,0.094366,-0.016163
noise_aug,worn,vib_spindle,8-20,0.229694,0.235890,0.006196
noise_aug,worn,vib_spindle,20-40,0.225050,0.244720,0.019670
noise_aug,worn,vib_spindle,40-70,0.220972,0.224644,0.003672
noise_aug,worn,vib_spindle,70-100,0.147118,0.123127,-0.023991
noise_aug,worn,vib_spindle,100-125,0.066637,0.077253,0.010616
noise_aug,worn,AE_table,0-8,0.105419,0.094997,-0.010423
noise_aug,worn,AE_table,8-20,0.194408,0.307629,0.113221
noise_aug,worn,AE_table,20-40,0.184379,0.229235,0.044856
noise_aug,worn,AE_table,40-70,0.123423,0.138670,0.015248
noise_aug,worn,AE_table,70-100,0.354388,0.192208,-0.162181
noise_aug,worn,AE_table,100-125,0.037983,0.037262,-0.000721
noise_aug,worn,AE_spindle,0-8,0.164121,0.160892,-0.003229
noise_aug,worn,AE_spindle,8-20,0.209481,0.328924,0.119443
noise_aug,worn,AE_spindle,20-40,0.213533,0.235112,0.021579
