split,family_id,metric,n_real,comparison,other_method,alternative,n_pairs,mean_llm,mean_other,mean_delta,median_delta,wins,ties,losses,wilcoxon_stat,p_value,holm_q_in_family,bh_q_global,passed_holm
loco_N15_M07_F04,loco_N15_M07_F04_n10_macro_f1_superiority,macro_f1,10,llm>random_open_loop,random_open_loop,greater,40,0.5016200000000001,0.3732375,0.1283825,0.12820000000000004,28,0,12,667.0,0.00016821866938698804,0.0005046560081609641,0.0008971662367306029,True
loco_N15_M07_F04,loco_N15_M07_F04_n10_macro_f1_superiority,macro_f1,10,llm>noise_aug,noise_aug,greater,40,0.5016200000000001,0.571455,-0.069835,-0.0542,13,0,27,212.0,0.9966710631988462,0.9966710631988462,0.9999999999990905,False
loco_N15_M07_F04,loco_N15_M07_F04_n10_macro_f1_superiority,macro_f1,10,llm>real_only,real_only,greater,40,0.5016200000000001,0.2748925,0.22672750000000003,0.18815000000000004,38,0,2,811.0,3.001332515850663e-11,1.2005330063402653e-10,1.4406396076083183e-09,True
loco_N15_M07_F04,loco_N15_M07_F04_n25_acc_superiority,acc,25,llm>rule,rule,greater,40,0.6613825,0.6916375,-0.030254999999999997,-0.02100000000000002,13,0,27,181.0,0.9992411915363846,0.9992411915363846,0.9999999999990905,False
loco_N15_M07_F04,loco_N15_M07_F04_n25_acc_superiority,acc,25,llm>random_open_loop,random_open_loop,greater,40,0.6613825,0.62213,0.0392525,0.02254999999999996,29,1,10,616.0,0.0008057159263479372,0.002417147779043812,0.002864767738125999,True
loco_N15_M07_F04,loco_N15_M07_F04_n25_acc_superiority,acc,25,llm>noise_aug,noise_aug,greater,40,0.6613825,0.6599625,0.0014199999999999964,0.0010499999999999954,22,1,17,420.0,0.3377359939542772,0.6754719879085544,0.6357383415609924,False
loco_N15_M07_F04,loco_N15_M07_F04_n25_acc_superiority,acc,25,llm>real_only,real_only,greater,40,0.6613825,0.6068149999999999,0.05456749999999999,0.06009999999999999,30,0,10,711.0,8.357918886758853e-06,3.343167554703541e-05,0.00011004647030596856,True
loco_N15_M07_F04,loco_N15_M07_F04_n25_macro_f1_superiority,macro_f1,25,llm>rule,rule,greater,40,0.62522,0.6718824999999999,-0.04666249999999999,-0.029399999999999926,11,0,29,141.0,0.9998502602400839,0.9998502602400839,0.9999999999990905,False
loco_N15_M07_F04,loco_N15_M07_F04_n25_macro_f1_superiority,macro_f1,25,llm>random_open_loop,random_open_loop,greater,40,0.62522,0.5820825000000001,0.04313750000000001,0.05505000000000004,32,0,8,663.0,0.00033608418718196156,0.0010082525615458847,0.0015363848556889672,True
loco_N15_M07_F04,loco_N15_M07_F04_n25_macro_f1_superiority,macro_f1,25,llm>noise_aug,noise_aug,greater,40,0.62522,0.62473,0.0004900000000000029,0.0027499999999999747,21,0,19,420.5,0.443881562097365,0.88776312419473,0.8040118860631517,False
loco_N15_M07_F04,loco_N15_M07_F04_n25_macro_f1_superiority,macro_f1,25,llm>real_only,real_only,greater,40,0.62522,0.55626,0.06896,0.06624999999999998,32,0,8,695.5,6.213808816474777e-05,0.00024855235265899107,0.0003976837642543857,True
loco_N15_M07_F10,loco_N15_M07_F10_n5_acc_superiority,acc,5,llm>rule,rule,greater,40,0.4494775000000001,0.41648499999999994,0.0329925,0.0,18,3,19,424.0,0.1370310656561658,0.2740621313123316,0.292332940066487,False
loco_N15_M07_F10,loco_N15_M07_F10_n5_acc_superiority,acc,5,llm>random_open_loop,random_open_loop,greater,40,0.4494775000000001,0.373455,0.07602249999999999,0.06759999999999997,31,0,9,654.5,0.0005073221964738147,0.0020292887858952588,0.0018731896485187003,True
loco_N15_M07_F10,loco_N15_M07_F10_n5_acc_superiority,acc,5,llm>noise_aug,noise_aug,greater,40,0.4494775000000001,0.5637225,-0.114245,-0.10255,8,0,32,109.0,0.9999922674660411,0.9999922674660411,0.9999999999990905,False
loco_N15_M07_F10,loco_N15_M07_F10_n5_acc_superiority,acc,5,llm>real_only,real_only,greater,40,0.4494775000000001,0.390605,0.058872499999999994,0.06194999999999998,29,0,11,605.0,0.0043825514686677575,0.013147654406003273,0.012749240636124386,True
loco_N15_M07_F10,loco_N15_M07_F10_n5_macro_f1_superiority,macro_f1,5,llm>rule,rule,greater,40,0.330795,0.2878775,0.04291750000000001,0.0009499999999999925,20,2,18,465.0,0.08527088886071782,0.17054177772143564,0.19490488882449788,False
loco_N15_M07_F10,loco_N15_M07_F10_n5_macro_f1_superiority,macro_f1,5,llm>random_open_loop,random_open_loop,greater,40,0.330795,0.27132,0.059475,0.034449999999999995,27,0,13,575.0,0.01328290256358378,0.05313161025433512,0.03506288539880454,False
loco_N15_M07_F10,loco_N15_M07_F10_n5_macro_f1_superiority,macro_f1,5,llm>noise_aug,noise_aug,greater,40,0.330795,0.5245025,-0.1937075,-0.18234999999999998,4,0,36,45.0,0.9999999865412974,0.9999999865412974,0.9999999999990905,False
