method,class,channel,band,real_frac,method_frac,delta
random_open_loop,severe,smcDC,8-20,0.026629,0.133988,0.107359
random_open_loop,severe,smcDC,20-40,0.063954,0.055701,-0.008253
random_open_loop,severe,smcDC,40-70,0.000137,0.028178,0.028041
random_open_loop,severe,smcDC,70-100,0.000038,0.024637,0.024599
random_open_loop,severe,smcDC,100-125,0.000022,0.019654,0.019633
random_open_loop,severe,vib_table,0-8,0.047298,0.030008,-0.017290
random_open_loop,severe,vib_table,8-20,0.309386,0.316778,0.007392
random_open_loop,severe,vib_table,20-40,0.216909,0.366158,0.149249
random_open_loop,severe,vib_table,40-70,0.125918,0.132110,0.006192
random_open_loop,severe,vib_table,70-100,0.287301,0.128884,-0.158417
random_open_loop,severe,vib_table,100-125,0.013189,0.026063,0.012874
random_open_loop,severe,vib_spindle,0-8,0.210732,0.502250,0.291518
random_open_loop,severe,vib_spindle,8-20,0.200274,0.123394,-0.076880
random_open_loop,severe,vib_spindle,20-40,0.204689,0.117238,-0.087451
random_open_loop,severe,vib_spindle,40-70,0.178395,0.110925,-0.067469
random_open_loop,severe,vib_spindle,70-100,0.134462,0.075830,-0.058632
random_open_loop,severe,vib_spindle,100-125,0.071450,0.070364,-0.001086
random_open_loop,severe,AE_table,0-8,0.124164,0.075890,-0.048274
random_open_loop,severe,AE_table,8-20,0.171550,0.247986,0.076437
random_open_loop,severe,AE_table,20-40,0.145076,0.210348,0.065271
random_open_loop,severe,AE_table,40-70,0.101338,0.153933,0.052596
random_open_loop,severe,AE_table,70-100,0.426352,0.261981,-0.164371
random_open_loop,severe,AE_table,100-125,0.031521,0.049862,0.018342
random_open_loop,severe,AE_spindle,0-8,0.234738,0.105060,-0.129678
random_open_loop,severe,AE_spindle,8-20,0.150976,0.209523,0.058547
random_open_loop,severe,AE_spindle,20-40,0.150509,0.221453,0.070944
random_open_loop,severe,AE_spindle,40-70,0.099786,0.142781,0.042995
random_open_loop,severe,AE_spindle,70-100,0.334079,0.269819,-0.064261
random_open_loop,severe,AE_spindle,100-125,0.029911,0.051365,0.021453
noise_aug,sharp,smcAC,0-8,0.010713,0.007944,-0.002769
noise_aug,sharp,smcAC,8-20,0.972054,0.975083,0.003028
noise_aug,sharp,smcAC,20-40,0.007453,0.005524,-0.001929
noise_aug,sharp,smcAC,40-70,0.003466,0.003909,0.000443
noise_aug,sharp,smcAC,70-100,0.003211,0.004263,0.001053
noise_aug,sharp,smcAC,100-125,0.003103,0.003277,0.000174
noise_aug,sharp,smcDC,0-8,0.841144,0.572685,-0.268459
noise_aug,sharp,smcDC,8-20,0.071300,0.081238,0.009939
noise_aug,sharp,smcDC,20-40,0.056334,0.105368,0.049034
noise_aug,sharp,smcDC,40-70,0.025449,0.094761,0.069312
noise_aug,sharp,smcDC,70-100,0.005436,0.081768,0.076332
noise_aug,sharp,smcDC,100-125,0.000338,0.064179,0.063841
noise_aug,sharp,vib_table,0-8,0.027573,0.015257,-0.012317
noise_aug,sharp,vib_table,8-20,0.414325,0.466009,0.051684
noise_aug,sharp,vib_table,20-40,0.253753,0.262928,0.009175
noise_aug,sharp,vib_table,40-70,0.128963,0.155035,0.026073
noise_aug,sharp,vib_table,70-100,0.165860,0.089403,-0.076457
noise_aug,sharp,vib_table,100-125,0.009526,0.011367,0.001841
noise_aug,sharp,vib_spindle,0-8,0.106931,0.240817,0.133886
noise_aug,sharp,vib_spindle,8-20,0.299465,0.228892,-0.070573
noise_aug,sharp,vib_spindle,20-40,0.143018,0.168711,0.025692
noise_aug,sharp,vib_spindle,40-70,0.236568,0.191188,-0.045380
noise_aug,sharp,vib_spindle,70-100,0.156027,0.103303,-0.052724
noise_aug,sharp,vib_spindle,100-125,0.057991,0.067089,0.009098
noise_aug,sharp,AE_table,0-8,0.066627,0.040257,-0.026369
noise_aug,sharp,AE_table,8-20,0.356623,0.397013,0.040390
noise_aug,sharp,AE_table,20-40,0.223879,0.214824,-0.009055
noise_aug,sharp,AE_table,40-70,0.139254,0.157108,0.017854
noise_aug,sharp,AE_table,70-100,0.166297,0.135899,-0.030399
noise_aug,sharp,AE_table,100-125,0.047321,0.054899,0.007579
noise_aug,sharp,AE_spindle,0-8,0.041541,0.032212,-0.009329
noise_aug,sharp,AE_spindle,8-20,0.373351,0.383992,0.010641
noise_aug,sharp,AE_spindle,20-40,0.325461,0.336292,0.010831
noise_aug,sharp,AE_spindle,40-70,0.131478,0.138009,0.006531
noise_aug,sharp,AE_spindle,70-100,0.085430,0.067369,-0.018061
noise_aug,sharp,AE_spindle,100-125,0.042739,0.042126,-0.000613
noise_aug,worn,smcAC,0-8,0.004151,0.007291,0.003141
noise_aug,worn,smcAC,8-20,0.985060,0.977897,-0.007163
noise_aug,worn,smcAC,20-40,0.003068,0.005238,0.002170
noise_aug,worn,smcAC,40-70,0.002552,0.002784,0.000233
