class,slot,candidate_rounds,n_candidates,n_expansions,n_feasible_expansions,first_pass_round,final_admitted,record_sha256
healthy,143,0,1,4,2,0,True,3c1e4af360b5c52e12f936571656679f8c02005bb74809b34fa4bf41cde322a3
healthy,144,0,1,0,0,,False,9bc35dda12980fdbe8be596066e1af9c8dcdda89db1b2a2de08730e7127366eb
healthy,145,0,1,0,0,,False,93161819409fd7331d9387fd7e256a65fbded648117c8591a955c6fc93c7105b
healthy,146,0,1,3,1,0,True,c2adfc7f423cf7ae8a65e4c61870e3930bca87327a55be0184b5c9be4574152b
healthy,147,0,1,0,0,,False,453e47e6b2863f4c73389d1bde2d16fca3ab2816fa12e5f0356429159a560e1d
healthy,148,0,1,0,0,,False,162043ef0624c61801cf7b4d86b690fa2ff550fadcbf96242f613340a5c4cbca
healthy,149,0,1,4,0,0,True,77584544b063a0aa5481336c9f05f123d7f0790cbbf2a3612ac7f7c49c37693f
OR,0,0,1,4,4,0,True,06e3ae051617554c4fceac0d8520e5f7f7b7abff3dc75b0c4ff8b1087bfeec34
OR,1,0,1,3,2,0,True,2bbe8a25a510e523f08505dbd4c9868afb4339a30cf410ae01f8a5cf0fa729bc
OR,2,0,1,4,0,0,True,f20efbdffad5d0d2f8c66ec862857a7fda06b079f6a318b06b758cdac4823080
OR,3,0,1,4,3,0,True,db98c43b83be61371cdc2d238fc71f87bc58c6c465b564efd8435c090ffdfc22
OR,4,0;1,2,4,4,1,True,2d2e21526ceeada1f2b6045ca0d7da836cb7cf665fbeceb52a9de434a53a030e
OR,5,0,1,4,3,0,True,a993033bfd6be762cdb7be7391bcfe90b64b89282a8f613437f0b44ca245555a
OR,6,0;1;2;3,4,0,0,,False,996db3d802ae68cef89bc76c4eb6c23a43478adeac6f66d7f1961da7beb2ff2e
OR,7,0,1,0,0,,False,c6c22f2e24af6aa63c976a7bb1505f7c87f589352c5a4ffa56ae4dc878d19a5d
OR,8,0,1,4,4,0,True,5c96b81e838b4f9a38a465f44b4dc2c3773b4399771f93deb64baf3c2242d07a
OR,9,0,1,4,2,0,True,79bc6ebc8b81e33cb1c2522fa18d23a89f5eee8c63d43689f6d29c508441e309
OR,10,0,1,4,3,0,True,b91d73dcf1e8428cedcad19651032598d553cc4f627dd6847dd5fd2cf6fe032d
OR,11,0;1;2,3,0,0,,False,fdddf0930fd302c9a6dac03b776a88783ce6aa3ca03534bf944255ff2eb2dec1
OR,12,0,1,4,0,0,True,8193b0dafd8c999bb0a3fafe58a7924de23b7eafebf24f09ee44e641d309be29
OR,13,0,1,4,4,0,True,e79f564f7ab6c6bb1bc5177b9a71a7b36d6a5f215a8b86cde73eb3bc99046a0b
OR,14,0,1,4,3,0,True,4e497aac71e3618537f47d41c3a780a5d9b3c58d94c2ea1e7ef68012016190bd
OR,15,0,1,4,3,0,True,001d7c76a73f5e13ed304f1add992634d2a65682343af1f4dadec4217eb06fa0
OR,16,0;1;2;3,4,0,0,,False,f7c6e79fa72a57b9dfecf69132adf38726365d3373f1a0e2008322ef2fd9ca9d
OR,17,0,1,0,0,,False,4401a11ac8e4a2863d6ea3fac17e6e427ef7b2eaab038fc61006a65f6e4ee617
OR,18,0;1;2;3,4,0,0,0,True,25b7ff0c2979795164219d148b6d4ad350ff230ae4bd7249fc76e3f058f28da6
OR,19,0,1,4,2,0,True,f7112dcb9eff803368bc4d8463413b466746b7505439571c79104c375d9f7d85
OR,20,0,1,0,0,,False,eccb91d639ae2335e27fe2163414926066d92f1116e9707295898ce412e6294b
OR,21,0,1,0,0,,False,cb5f873076f2734c58f35eb210aeddf9cd740a37d1d61b98ab3f0bdebb1a13b2
OR,22,0,1,0,0,,False,a8cbb3edd5a4d48ebfe8a6de0654c13caa0404cfece57ba6b85d7681977533f5
OR,23,0;1;2;3,4,0,0,0,True,a2d7238d5ff196130ec5882d7091059ed43f021b262aa8243873a338c253670f
OR,24,0;1;2;3,4,0,0,2,True,acc06710ecc0f074247ff1cdca778ed7684049f016ab12177a4d6a7c9a685da3
OR,25,0,1,4,1,0,True,9abed633863ada7895eb72f4a17ccaab1ccdc28789e092a823d510eb0f8a28c7
OR,26,0,1,0,0,,False,7797998f46da0b8dbc785d5c7198613c1c864c233d10545b771d0fe8c5987e78
OR,27,0,1,0,0,,False,414b237e7622c6c858e52ecda95b04e3a0a9ee6961676956254d31ceef11d9bb
OR,28,0,1,4,3,0,True,b8040a33c09d7e74a2fd58e85b4c9209dc3dde3f7f3b2d3240ea3f83d47ce49c
OR,29,0,1,0,0,,False,6217fc0b3765e4af698cfe16dda9e58d0444cd432bccefdf32a9c60ab88d1416
