scheme,baseline,model,split_protocol,condition_id,n,majority_acc,acc,macro_f1
C,signal_only,logreg,logo_condition,CastIron.GG30|200.0|0.2|1.5|58.4,8,0.5,1.0,1.0
C,signal_only,logreg,logo_condition,StainlessSteel.316L|100.0|0.05|1.5|58.4,8,0.5,0.75,0.75
C,signal_only,logreg,logo_condition,StainlessSteel.316L|100.0|0.1|1.5|58.4,8,0.5,0.625,0.5636363636363637
C,signal_only,logreg,logo_condition,StainlessSteel.316L|50.0|0.05|1.5|58.4,9,0.5555555555555556,0.6666666666666666,0.6493506493506493
C,signal_only,logreg,logo_condition,StainlessSteel.316L|50.0|0.1|1.5|58.4,8,0.5,0.75,0.7333333333333334
C,signal_only,logreg,groupkfold_condition,CastIron.GG30|100.0|0.1|1.5|58.4,8,0.5,1.0,1.0
C,signal_only,logreg,groupkfold_condition,CastIron.GG30|100.0|0.2|1.5|58.4,8,0.5,0.75,0.7333333333333334
C,signal_only,logreg,groupkfold_condition,CastIron.GG30|200.0|0.1|1.5|58.4,10,0.5,1.0,1.0
C,signal_only,logreg,groupkfold_condition,CastIron.GG30|200.0|0.2|1.5|58.4,8,0.5,1.0,1.0
C,signal_only,logreg,groupkfold_condition,StainlessSteel.316L|100.0|0.05|1.5|58.4,8,0.5,0.875,0.873015873015873
