request_index,slot,target_class,round_id,model,prompt_hash,response_hash,http_status,parse_status,timestamp,accepted,rejection_reasons
48,9,normal_machining,2,mimo-v2.5,9554d91e45822de96bf2932d05b445dd0cd0dd6bd868fd646c3729fb66900a7a,57914857d76d322e6b4e6ef6fbc2fb0daa95735e7abaebf6787557ff3ad97f01,200,json_object_ok,2026-07-14T02:21:28Z,False,recipe_schema
49,9,normal_machining,3,mimo-v2.5,75bb4a6708dfbb2329e32a366bf1657111d2b9589b5db36e00494389bf7969a1,ba03fae0b3f2ab854294ba1f23ea3d8133fb968292cd8c3df5aa300b17c9cb4d,200,json_object_ok,2026-07-14T02:21:39Z,True,
50,10,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,cc026b1e937f3b363489ff0d37c596ac875e85f98df22ecabc8881958a8c9803,200,json_object_ok,2026-07-14T02:21:49Z,False,psd_w1
51,10,base_imbalance,1,mimo-v2.5,6b110961c6256be62a46c66ebd33dbe1980ed0c753869cbb29cdc12f92f6ac07,652719997ee4ec4ed254e3bf59c83a2e0c0ad70b31f2ec8ac5da70d028011320,200,json_object_ok,2026-07-14T02:21:59Z,True,
52,10,lead_screw_anomaly,0,mimo-v2.5,fd9c131f573be5fd3b8c8c6ee902d71f78b943cf2361f9ab5085d7732fffa46c,13b9118db94f0d6275f7d0f3523bc6f11ce479f7264476ee3cced132f53c7213,200,json_object_ok,2026-07-14T02:22:08Z,True,
53,10,normal_machining,0,mimo-v2.5,7593ddd6c8f7b5be2299f1dd19a09f8501949a6b58d66cac28a4b1081a0d122f,,0,error:SSLError,2026-07-14T02:22:15Z,False,api_or_json
54,10,normal_machining,1,mimo-v2.5,4e762bedc885e0604ef2e0b6f1c72a9400d5e6fef57adc55fc32e73618a271fe,7b3d386c60a1dc11cd82c615a55a6de02b12d153b4b3a170a07b985d4399f780,200,json_object_ok,2026-07-14T02:22:30Z,True,
55,11,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,054a474592f75d792986243efa4273af6a064c396915d7f07de866171fbb293f,200,json_object_ok,2026-07-14T02:22:41Z,False,recipe_schema
56,11,base_imbalance,1,mimo-v2.5,6946f85b032b426b3ec2c1c2e4ccfdf2076475b7e9a59c5c263b59e1f1d42d0b,ab7af518acb7bf47dd82f88cadd0dda8564a85f026f6937f14300aaba8277501,200,json_object_ok,2026-07-14T02:22:50Z,False,recipe_schema
57,11,base_imbalance,2,mimo-v2.5,1bd09c2ddf15f7991f2fd57c16c63ea7ff185e73af889b4f1166fabd9246e9c3,d1902f60f3bcfc15e8529022b825214cbb061b9851b13dbb837b36cebfff2e69,200,json_object_ok,2026-07-14T02:22:57Z,False,recipe_schema
58,11,base_imbalance,3,mimo-v2.5,5f6c432f69134fa32fe732597b640d244e5cee4225fe6dfc57bc31b6f9ea7336,7d47499814d8918d8dbbe9c78d3defaa0a34562ec36682c3c985b69ba4fac15b,200,json_object_ok,2026-07-14T02:23:05Z,False,recipe_schema
59,11,lead_screw_anomaly,0,mimo-v2.5,fd9c131f573be5fd3b8c8c6ee902d71f78b943cf2361f9ab5085d7732fffa46c,f3fac4736e3c949ea3f46493b7868b43654af88df39db7e66070916c725673b8,200,json_object_ok,2026-07-14T02:23:17Z,True,
60,11,normal_machining,0,mimo-v2.5,7593ddd6c8f7b5be2299f1dd19a09f8501949a6b58d66cac28a4b1081a0d122f,04aba39283ca72becf9362b644f8971491c7a55f2215c508ef6d625677d65abf,200,json_object_ok,2026-07-14T02:23:28Z,True,
61,12,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,293a1e728406cbfa3cfe9416223c0bf70f58b0384071b42550b1f8b35abe0ae1,200,json_object_ok,2026-07-14T02:23:38Z,False,recipe_schema
62,12,base_imbalance,1,mimo-v2.5,6946f85b032b426b3ec2c1c2e4ccfdf2076475b7e9a59c5c263b59e1f1d42d0b,b5baf72523bed24cb41d66b91fc14b84685e07e32b9869d517befc902cbfcb31,200,json_object_ok,2026-07-14T02:23:48Z,False,recipe_schema
63,12,base_imbalance,2,mimo-v2.5,1bd09c2ddf15f7991f2fd57c16c63ea7ff185e73af889b4f1166fabd9246e9c3,f6517a4ef7f077cf6798a5ecb1fd703a3530deb668eabdb2ece7a8ec4c0b7d89,200,json_object_ok,2026-07-14T02:23:56Z,False,recipe_schema
64,12,base_imbalance,3,mimo-v2.5,5f6c432f69134fa32fe732597b640d244e5cee4225fe6dfc57bc31b6f9ea7336,4f9f3a4ff721b64dd95dcdfbb50d170dc214b6ba790a0a5ce6cedac6b6a62779,200,json_object_ok,2026-07-14T02:24:08Z,False,psd_w1
65,13,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,d946f3f4b2be4b0d81baab984ec5031bac198c34675f46219964b58756544a97,200,json_object_ok,2026-07-14T02:24:19Z,True,
66,12,lead_screw_anomaly,0,mimo-v2.5,fd9c131f573be5fd3b8c8c6ee902d71f78b943cf2361f9ab5085d7732fffa46c,4e7b64052a838a9f9f39c33979ff5dc730a739a6fa165ebabe73fb4cb1562350,200,json_object_ok,2026-07-14T02:24:28Z,True,
67,12,normal_machining,0,mimo-v2.5,7593ddd6c8f7b5be2299f1dd19a09f8501949a6b58d66cac28a4b1081a0d122f,9540ea052d1e183f11d6c3a2e70de716b9e5278e2eeb9d4b6f109ccd8f12280c,200,json_object_ok,2026-07-14T02:24:42Z,True,
68,14,base_imbalance,0,mimo-v2.5,58c18cd30889ba3648c09f2f91691cfd50da9e3eea52f005b059ee7aa494f040,b2813f8a3e2a1d441c0367e31ec42f381baa05101c13cb6fdf7e19a7a2177b91,200,json_object_ok,2026-07-14T02:24:52Z,False,recipe_schema
