n_syn,selected_n_syn,n_real,metric,comparison,p_raw,mean_delta,median_delta,win_rate,effect_size_mean_over_sd,holm_q
40,False,5,acc,LLM_synthetic>noise_aug,0.044568310576806824,0.018872549019607842,0.017156862745098034,0.6,0.4329353652754553,0.13370493173042047
40,False,5,acc,LLM_synthetic>rule,0.9717693865724755,-0.007352941176470595,-0.009803921568627416,0.3,-0.47064061729223905,1.0
40,False,5,acc,LLM_synthetic>random_open_loop,0.9869195035516714,-0.012009803921568613,-0.014705882352941124,0.25,-0.6260855840677443,1.0
40,False,5,acc,LLM_synthetic>real_only,0.10887837877685141,0.016911764705882338,0.01225490196078427,0.6,0.35958966293131883,
40,False,5,macro_f1,LLM_synthetic>noise_aug,0.03808935479897762,0.020960019759057084,0.01687454321966786,0.6,0.45005004616900357,0.11426806439693285
40,False,5,macro_f1,LLM_synthetic>rule,0.9619106452010224,-0.007029670044718245,-0.009432945188713793,0.35,-0.40146585205921576,1.0
40,False,5,macro_f1,LLM_synthetic>random_open_loop,0.9891666099570028,-0.013947095821065991,-0.015359755918273543,0.3,-0.6330205617583105,1.0
40,False,5,macro_f1,LLM_synthetic>real_only,0.08247852325439453,0.01975832398096657,0.014140286124925905,0.65,0.3808357194380598,
40,False,10,acc,LLM_synthetic>noise_aug,0.7840586553009345,-0.0017156862745097978,-0.004901960784313708,0.3,-0.1464299556686191,1.0
40,False,10,acc,LLM_synthetic>rule,0.9181351544922421,-0.0029411764705882305,-0.004901960784313708,0.3,-0.2462484474310174,1.0
40,False,10,acc,LLM_synthetic>random_open_loop,0.9992482930748003,-0.01004901960784314,-0.009803921568627416,0.2,-0.8058726095152547,1.0
40,False,10,acc,LLM_synthetic>real_only,0.1303177926291983,0.002696078431372545,0.004901960784313708,0.5,0.1691202004373333,
40,False,10,macro_f1,LLM_synthetic>noise_aug,0.8563523607639187,-0.0018980530672598416,-0.005397950880152436,0.3,-0.14625135246687507,1.0
40,False,10,macro_f1,LLM_synthetic>rule,0.8944678840614695,-0.0028748428635365806,-0.004830040776929001,0.35,-0.2066735118710476,1.0
40,False,10,macro_f1,LLM_synthetic>random_open_loop,0.9993953704833984,-0.011104607714577375,-0.009537669456040065,0.25,-0.7932640177987101,1.0
40,False,10,macro_f1,LLM_synthetic>real_only,0.07529749900906282,0.0033025109560044065,0.005226248097540853,0.55,0.1824208494529764,
