method,n_real,n_syn,seed,actual_syn,acc,macro_f1,confusion_json
LLM_synthetic,2,10,17,20,0.6911764705882353,0.6848068669527897,"[[85,11],[52,56]]"
real_only,2,20,17,0,0.5637254901960784,0.5636311197635013,"[[56,40],[49,59]]"
noise_aug,2,20,17,40,0.5686274509803921,0.5671296296296295,"[[52,44],[44,64]]"
rule,2,20,17,40,0.7254901960784313,0.7166666666666667,"[[92,4],[52,56]]"
random_open_loop,2,20,17,40,0.7352941176470589,0.7286164761529366,"[[91,5],[49,59]]"
LLM_synthetic,2,20,17,40,0.7058823529411765,0.7010258915486076,"[[85,11],[49,59]]"
real_only,2,40,17,0,0.5637254901960784,0.5636311197635013,"[[56,40],[49,59]]"
noise_aug,2,40,17,80,0.5833333333333334,0.5825207656193572,"[[55,41],[44,64]]"
rule,2,40,17,80,0.7352941176470589,0.7267857142857144,"[[93,3],[51,57]]"
random_open_loop,2,40,17,80,0.7254901960784313,0.7156228218659764,"[[93,3],[53,55]]"
LLM_synthetic,2,40,17,80,0.7107843137254902,0.706374570027567,"[[85,11],[48,60]]"
real_only,2,10,18,0,0.6470588235294118,0.6442894507410637,"[[75,21],[51,57]]"
noise_aug,2,10,18,20,0.6225490196078431,0.6185063752276867,"[[74,22],[55,53]]"
rule,2,10,18,20,0.7058823529411765,0.7017543859649122,"[[84,12],[48,60]]"
random_open_loop,2,10,18,20,0.6911764705882353,0.6856702619414483,"[[84,12],[51,57]]"
LLM_synthetic,2,10,18,20,0.6764705882352942,0.6693191865605659,"[[84,12],[54,54]]"
real_only,2,20,18,0,0.6470588235294118,0.6442894507410637,"[[75,21],[51,57]]"
noise_aug,2,20,18,40,0.6666666666666666,0.6650893288266537,"[[75,21],[47,61]]"
rule,2,20,18,40,0.6911764705882353,0.6838765219530193,"[[86,10],[53,55]]"
random_open_loop,2,20,18,40,0.7107843137254902,0.7056277056277056,"[[86,10],[49,59]]"
LLM_synthetic,2,20,18,40,0.696078431372549,0.6910600879335613,"[[84,12],[50,58]]"
real_only,2,40,18,0,0.6470588235294118,0.6442894507410637,"[[75,21],[51,57]]"
noise_aug,2,40,18,80,0.6078431372549019,0.6040372670807453,"[[72,24],[56,52]]"
rule,2,40,18,80,0.7205882352941176,0.7163279744334121,"[[86,10],[47,61]]"
random_open_loop,2,40,18,80,0.7156862745098039,0.7102272727272727,"[[87,9],[49,59]]"
LLM_synthetic,2,40,18,80,0.7058823529411765,0.7017543859649122,"[[84,12],[48,60]]"
real_only,2,10,19,0,0.7401960784313726,0.7362347832451026,"[[88,8],[45,63]]"
noise_aug,2,10,19,20,0.7450980392156863,0.7415204678362572,"[[88,8],[44,64]]"
rule,2,10,19,20,0.7401960784313726,0.7323166051843233,"[[93,3],[50,58]]"
random_open_loop,2,10,19,20,0.75,0.7448436541998773,"[[91,5],[46,62]]"
LLM_synthetic,2,10,19,20,0.7254901960784313,0.7194223401119952,"[[89,7],[49,59]]"
real_only,2,20,19,0,0.7401960784313726,0.7362347832451026,"[[88,8],[45,63]]"
noise_aug,2,20,19,40,0.7352941176470589,0.7327251552795031,"[[85,11],[43,65]]"
rule,2,20,19,40,0.7549019607843137,0.749484232242853,"[[92,4],[46,62]]"
random_open_loop,2,20,19,40,0.7696078431372549,0.7671402550091075,"[[89,7],[40,68]]"
LLM_synthetic,2,20,19,40,0.7450980392156863,0.7408891060087933,"[[89,7],[45,63]]"
real_only,2,40,19,0,0.7401960784313726,0.7362347832451026,"[[88,8],[45,63]]"
noise_aug,2,40,19,80,0.7303921568627451,0.7280329657011271,"[[84,12],[43,65]]"
