n_syn,selected_n_syn,n_real,metric,comparison,p_raw,mean_delta,median_delta,win_rate,effect_size_mean_over_sd,holm_q
20,False,5,macro_f1,LLM_synthetic>random_open_loop,0.9997587203979492,-0.017461728400119392,-0.019338198162817677,0.15,-1.0151023519589653,1.0
20,False,5,macro_f1,LLM_synthetic>real_only,0.2729377746582031,0.007134309215590573,0.0078055304088957556,0.6,0.22009422104285192,
20,False,10,acc,LLM_synthetic>noise_aug,0.8846007293409502,-0.018137254901960786,-0.002450980392156854,0.3,-0.25944704370703087,1.0
20,False,10,acc,LLM_synthetic>rule,0.9773959578751032,-0.02058823529411763,-0.004901960784313708,0.3,-0.31019649409506345,1.0
20,False,10,acc,LLM_synthetic>random_open_loop,0.9940393465344638,-0.007843137254901943,-0.007352941176470562,0.2,-0.6509173370871398,1.0
20,False,10,acc,LLM_synthetic>real_only,0.9908571684849816,-0.022549019607843133,-0.004901960784313708,0.2,-0.3287126888605966,
20,False,10,macro_f1,LLM_synthetic>noise_aug,0.9298453832116426,-0.026401020311626677,-0.004715604489362035,0.3,-0.2563176328252649,1.0
20,False,10,macro_f1,LLM_synthetic>rule,0.9833606214774494,-0.028265652036370065,-0.0052472276447547705,0.3,-0.2837852230042657,1.0
20,False,10,macro_f1,LLM_synthetic>random_open_loop,0.9923977170227594,-0.00821568227174418,-0.007484286200401924,0.2,-0.6404716146451932,1.0
20,False,10,macro_f1,LLM_synthetic>real_only,0.9790648895950169,-0.030267521599174497,-0.0059005431806039566,0.3,-0.2970052344381862,
40,True,2,acc,LLM_synthetic>noise_aug,0.00018066714065127014,0.0625,0.053921568627450955,0.9,1.0711976823839422,0.0005420014219538104
40,True,2,acc,LLM_synthetic>rule,0.9997062293081816,-0.03259803921568626,-0.026960784313725505,0.1,-1.0828671911323373,1.0
40,True,2,acc,LLM_synthetic>random_open_loop,0.9998064811572105,-0.03235294117647057,-0.026960784313725505,0.1,-1.1418321760418448,1.0
40,True,2,acc,LLM_synthetic>real_only,0.00031746496339964304,0.060784313725490216,0.04656862745098034,0.8,0.9301346344794874,
40,True,2,macro_f1,LLM_synthetic>noise_aug,4.100799560546875e-05,0.0664035966524322,0.060184259854773714,0.9,1.034895794816587,0.00012302398681640625
40,True,2,macro_f1,LLM_synthetic>rule,0.9995233209794933,-0.035836196485175636,-0.026994638553815065,0.1,-0.993214702580978,1.0
40,True,2,macro_f1,LLM_synthetic>random_open_loop,0.9998182590658992,-0.03590236341767662,-0.028012215048050515,0.1,-1.0529238507226943,1.0
40,True,2,macro_f1,LLM_synthetic>real_only,0.00047667902050670016,0.06789938905162239,0.053951996337831376,0.8,0.9131961214639976,
40,True,5,acc,LLM_synthetic>noise_aug,0.040937043914947326,0.013480392156862758,0.004901960784313764,0.6,0.4121814959026476,0.12281113174484198
40,True,5,acc,LLM_synthetic>rule,0.9945091113174109,-0.011764705882352938,-0.014705882352941124,0.2,-0.7382546445843208,1.0
