class,source,frequency_hz,q25,median,q75,n_windows,demodulation_hz
healthy,rule,183.59375,6.680824059888129e-05,9.499093305696279e-05,0.00015037216222824748,150,500-2000
healthy,rule,187.5,5.949144196158044e-05,9.183908577021896e-05,0.00012341919131535174,150,500-2000
healthy,rule,191.40625,5.8028232251796483e-05,8.796245862200633e-05,0.00012855012432450025,150,500-2000
healthy,rule,195.3125,6.27480434654963e-05,9.340261444534597e-05,0.00013837222342756323,150,500-2000
healthy,rule,199.21875,6.169517547508456e-05,9.709912253089582e-05,0.00014604558537228686,150,500-2000
healthy,rule,203.125,6.242588788951343e-05,9.581518035000957e-05,0.00013760867455339535,150,500-2000
healthy,rule,207.03125,5.9920309879212136e-05,0.0001066873484247134,0.00015217551464104956,150,500-2000
healthy,rule,210.9375,6.391814774769862e-05,9.841819053681283e-05,0.00013484547101243476,150,500-2000
healthy,rule,214.84375,6.206182478482627e-05,0.00010432709780608732,0.0001387008891253257,150,500-2000
healthy,rule,218.75,5.55124564120944e-05,8.821873810245626e-05,0.00012476232415088034,150,500-2000
healthy,random_open_loop,0.0,2.1432478782241908e-05,7.02209127184363e-05,0.00023864993104269613,150,500-2000
healthy,random_open_loop,3.90625,6.905831799086152e-05,0.00020700892307808782,0.0004850135718157024,150,500-2000
healthy,random_open_loop,7.8125,6.743928958994312e-05,0.00022702777406542271,0.0005889585187711202,150,500-2000
healthy,random_open_loop,11.71875,7.666072799071593e-05,0.0002075994384372174,0.0006051307137337853,150,500-2000
healthy,random_open_loop,15.625,7.697333116881674e-05,0.0002060237016465308,0.000564260214556001,150,500-2000
healthy,random_open_loop,19.53125,8.441369350880525e-05,0.00021907664587764747,0.0005101811000542453,150,500-2000
healthy,random_open_loop,23.4375,8.53734334600207e-05,0.0002094452817976051,0.0005023050381246491,150,500-2000
healthy,random_open_loop,27.34375,8.921482847150734e-05,0.00021295469332778153,0.0005442565933921075,150,500-2000
healthy,random_open_loop,31.25,7.305970033062646e-05,0.00023387875972698643,0.0005572084479545565,150,500-2000
healthy,random_open_loop,35.15625,7.403917788341507e-05,0.00018514326034737511,0.00047997763943323545,150,500-2000
healthy,random_open_loop,39.0625,7.654448940003228e-05,0.00019482341082660586,0.0004676583017310844,150,500-2000
healthy,random_open_loop,42.96875,7.985981682239864e-05,0.0001967379622342233,0.0005151456937785806,150,500-2000
healthy,random_open_loop,46.875,7.326831438517495e-05,0.00021254502472817325,0.0004725353053705078,150,500-2000
healthy,random_open_loop,50.78125,6.844461267350626e-05,0.0001783484619152832,0.000550193238872475,150,500-2000
healthy,random_open_loop,54.6875,7.465296469772279e-05,0.00021837505220914755,0.0004413763323656499,150,500-2000
healthy,random_open_loop,58.59375,8.231543181084661e-05,0.00020090638922385341,0.000518972383107984,150,500-2000
healthy,random_open_loop,62.5,9.017344052785659e-05,0.0001840996046163653,0.00044723400202062875,150,500-2000
healthy,random_open_loop,66.40625,9.895468585341954e-05,0.00019086676201547647,0.0005172486511046679,150,500-2000
healthy,random_open_loop,70.3125,8.943390877806415e-05,0.00020000206853711144,0.0005781067698861994,150,500-2000
healthy,random_open_loop,74.21875,8.58708719362984e-05,0.00022420062928364313,0.0005029074353596055,150,500-2000
healthy,random_open_loop,78.125,7.731192043200727e-05,0.00020149439399640026,0.0005132028175694383,150,500-2000
healthy,random_open_loop,82.03125,8.3898534579408e-05,0.00022653920355048107,0.0005734287369849822,150,500-2000
healthy,random_open_loop,85.9375,8.445913735805105e-05,0.00019986370442117823,0.000480057245482779,150,500-2000
healthy,random_open_loop,89.84375,7.52934148056272e-05,0.00018980148893908187,0.000511365896894041,150,500-2000
healthy,random_open_loop,93.75,6.670738595852257e-05,0.00021466205740453952,0.0005783196980688309,150,500-2000
healthy,random_open_loop,97.65625,7.201504620621235e-05,0.00017176115591765009,0.00047217110273790495,150,500-2000
healthy,random_open_loop,101.5625,7.02115232092693e-05,0.0001799156180784151,0.0005374596517485243,150,500-2000
healthy,random_open_loop,105.46875,7.789838139093288e-05,0.0001837677663762949,0.0005393757059600807,150,500-2000
healthy,random_open_loop,109.375,7.828336514672237e-05,0.0001994703108259829,0.0005971924066820853,150,500-2000
healthy,random_open_loop,113.28125,7.016205669265286e-05,0.00018759454494827956,0.0004723790463096306,150,500-2000
healthy,random_open_loop,117.1875,8.045024693088617e-05,0.0002109508543208092,0.0005144948122892968,150,500-2000
healthy,random_open_loop,121.09375,8.05370700432625e-05,0.00016033415017742024,0.0005561951703217501,150,500-2000
healthy,random_open_loop,125.0,7.098820596699067e-05,0.00017277729294787677,0.0004241492543655702,150,500-2000
healthy,random_open_loop,128.90625,6.777105347521437e-05,0.00021462042158251215,0.0005477683373992435,150,500-2000
