method,class,channel,band,real_frac,method_frac,delta
rule,worn,vib_spindle,0-8,0.110530,0.389111,0.278582
rule,worn,vib_spindle,8-20,0.229694,0.184004,-0.045690
rule,worn,vib_spindle,20-40,0.225050,0.156587,-0.068464
rule,worn,vib_spindle,40-70,0.220972,0.091544,-0.129429
rule,worn,vib_spindle,70-100,0.147118,0.079993,-0.067125
rule,worn,vib_spindle,100-125,0.066637,0.098762,0.032125
rule,worn,AE_table,0-8,0.105419,0.102507,-0.002912
rule,worn,AE_table,8-20,0.194408,0.254706,0.060297
rule,worn,AE_table,20-40,0.184379,0.215361,0.030982
rule,worn,AE_table,40-70,0.123423,0.155040,0.031617
rule,worn,AE_table,70-100,0.354388,0.226738,-0.127651
rule,worn,AE_table,100-125,0.037983,0.045649,0.007666
rule,worn,AE_spindle,0-8,0.164121,0.110512,-0.053609
rule,worn,AE_spindle,8-20,0.209481,0.196584,-0.012897
rule,worn,AE_spindle,20-40,0.213533,0.232112,0.018579
rule,worn,AE_spindle,40-70,0.117671,0.151568,0.033898
rule,worn,AE_spindle,70-100,0.260681,0.258534,-0.002147
rule,worn,AE_spindle,100-125,0.034514,0.050690,0.016176
rule,severe,smcAC,0-8,0.003696,0.008163,0.004467
rule,severe,smcAC,8-20,0.986361,0.976997,-0.009364
rule,severe,smcAC,20-40,0.002536,0.004433,0.001897
rule,severe,smcAC,40-70,0.002280,0.003331,0.001051
rule,severe,smcAC,70-100,0.002821,0.003774,0.000953
rule,severe,smcAC,100-125,0.002305,0.003302,0.000996
rule,severe,smcDC,0-8,0.909220,0.672094,-0.237126
rule,severe,smcDC,8-20,0.026629,0.080740,0.054111
rule,severe,smcDC,20-40,0.063954,0.242505,0.178551
rule,severe,smcDC,40-70,0.000137,0.002737,0.002600
rule,severe,smcDC,70-100,0.000038,0.001191,0.001153
rule,severe,smcDC,100-125,0.000022,0.000732,0.000711
rule,severe,vib_table,0-8,0.047298,0.018577,-0.028721
rule,severe,vib_table,8-20,0.309386,0.207149,-0.102237
rule,severe,vib_table,20-40,0.216909,0.303965,0.087056
rule,severe,vib_table,40-70,0.125918,0.209091,0.083174
rule,severe,vib_table,70-100,0.287301,0.244119,-0.043181
rule,severe,vib_table,100-125,0.013189,0.017098,0.003910
rule,severe,vib_spindle,0-8,0.210732,0.482662,0.271930
rule,severe,vib_spindle,8-20,0.200274,0.134620,-0.065654
rule,severe,vib_spindle,20-40,0.204689,0.110057,-0.094632
rule,severe,vib_spindle,40-70,0.178395,0.105597,-0.072797
rule,severe,vib_spindle,70-100,0.134462,0.076248,-0.058213
rule,severe,vib_spindle,100-125,0.071450,0.090816,0.019366
rule,severe,AE_table,0-8,0.124164,0.151739,0.027575
rule,severe,AE_table,8-20,0.171550,0.158352,-0.013198
rule,severe,AE_table,20-40,0.145076,0.226894,0.081817
rule,severe,AE_table,40-70,0.101338,0.150387,0.049049
rule,severe,AE_table,70-100,0.426352,0.263231,-0.163121
rule,severe,AE_table,100-125,0.031521,0.049398,0.017877
rule,severe,AE_spindle,0-8,0.234738,0.218109,-0.016629
rule,severe,AE_spindle,8-20,0.150976,0.115077,-0.035899
rule,severe,AE_spindle,20-40,0.150509,0.200187,0.049679
rule,severe,AE_spindle,40-70,0.099786,0.129025,0.029238
rule,severe,AE_spindle,70-100,0.334079,0.292777,-0.041303
rule,severe,AE_spindle,100-125,0.029911,0.044825,0.014914
random_open_loop,sharp,smcAC,0-8,0.010713,0.012972,0.002259
random_open_loop,sharp,smcAC,8-20,0.972054,0.923653,-0.048401
random_open_loop,sharp,smcAC,20-40,0.007453,0.015189,0.007736
random_open_loop,sharp,smcAC,40-70,0.003466,0.018557,0.015092
random_open_loop,sharp,smcAC,70-100,0.003211,0.017441,0.014231
random_open_loop,sharp,smcAC,100-125,0.003103,0.012187,0.009084
random_open_loop,sharp,smcDC,0-8,0.841144,0.660860,-0.180284
random_open_loop,sharp,smcDC,8-20,0.071300,0.165966,0.094667
random_open_loop,sharp,smcDC,20-40,0.056334,0.129766,0.073432
random_open_loop,sharp,smcDC,40-70,0.025449,0.017437,-0.008012
random_open_loop,sharp,smcDC,70-100,0.005436,0.014433,0.008998
random_open_loop,sharp,smcDC,100-125,0.000338,0.011537,0.011199
random_open_loop,sharp,vib_table,0-8,0.027573,0.011435,-0.016139
random_open_loop,sharp,vib_table,8-20,0.414325,0.391189,-0.023136
random_open_loop,sharp,vib_table,20-40,0.253753,0.299359,0.045607
random_open_loop,sharp,vib_table,40-70,0.128963,0.137996,0.009034
random_open_loop,sharp,vib_table,70-100,0.165860,0.144802,-0.021058
random_open_loop,sharp,vib_table,100-125,0.009526,0.015219,0.005693
random_open_loop,sharp,vib_spindle,0-8,0.106931,0.354674,0.247743
random_open_loop,sharp,vib_spindle,8-20,0.299465,0.177910,-0.121555
random_open_loop,sharp,vib_spindle,20-40,0.143018,0.165034,0.022015
random_open_loop,sharp,vib_spindle,40-70,0.236568,0.124638,-0.111930
random_open_loop,sharp,vib_spindle,70-100,0.156027,0.091489,-0.064538
