baseline,n_real,seed,n_syn,acc,macro_f1,f1_healthy,f1_OR,f1_IR,confusion
phaseA_v2_random_open_loop,50,1,450,0.6705,0.6660,0.8162,0.5355,0.6462,"[[262,20,18],[43,151,107],[37,92,232]]"
phaseA_v2_random_open_loop,50,2,450,0.6570,0.6500,0.7969,0.5053,0.6478,"[[261,33,6],[48,142,111],[46,86,229]]"
phaseA_v2_random_open_loop,50,3,450,0.6944,0.6629,0.8408,0.4403,0.7076,"[[280,5,15],[46,94,161],[40,27,294]]"
phaseA_v2_random_open_loop,50,4,450,0.6372,0.6365,0.7393,0.5223,0.6480,"[[224,56,20],[42,158,101],[40,90,231]]"
phaseA_v2_random_open_loop,50,5,450,0.5832,0.5910,0.7168,0.4986,0.5576,"[[205,84,11],[33,177,91],[34,148,179]]"
phaseA_v2_random_open_loop,50,6,450,0.6019,0.6006,0.7653,0.4148,0.6218,"[[225,71,4],[31,123,147],[32,98,231]]"
phaseA_v2_random_open_loop,50,7,450,0.6227,0.6096,0.7971,0.4375,0.5942,"[[275,25,0],[58,119,124],[57,99,205]]"
phaseA_v2_random_open_loop,50,8,450,0.6403,0.6372,0.8042,0.5106,0.5969,"[[265,33,2],[51,157,93],[43,124,194]]"
phaseA_v2_random_open_loop,50,9,450,0.6081,0.6023,0.6942,0.4269,0.6856,"[[193,106,1],[28,127,146],[35,61,265]]"
phaseA_v2_random_open_loop,50,10,450,0.6424,0.6137,0.7963,0.3625,0.6823,"[[256,38,6],[48,85,168],[39,45,277]]"
phaseA_v2_random_open_loop,50,11,450,0.6559,0.6303,0.7631,0.4233,0.7043,"[[240,36,24],[49,98,154],[40,28,293]]"
phaseA_v2_random_open_loop,50,12,450,0.7048,0.6991,0.8059,0.5989,0.6924,"[[274,22,4],[55,171,75],[51,77,233]]"
phaseA_v2_random_open_loop,50,13,450,0.5769,0.5744,0.6679,0.4033,0.6520,"[[179,110,11],[28,124,149],[29,80,252]]"
phaseA_v2_random_open_loop,50,14,450,0.5894,0.5868,0.6910,0.4164,0.6531,"[[199,98,3],[41,127,133],[36,84,241]]"
phaseA_v2_random_open_loop,50,15,450,0.6497,0.6326,0.7439,0.4533,0.7005,"[[228,48,24],[47,114,140],[38,40,283]]"
phaseA_v2_random_open_loop,50,16,450,0.5468,0.5509,0.6901,0.3801,0.5826,"[[196,100,4],[38,122,141],[34,119,208]]"
phaseA_v2_random_open_loop,50,17,450,0.6435,0.6383,0.8173,0.4662,0.6314,"[[255,42,3],[29,131,141],[40,88,233]]"
phaseA_v2_random_open_loop,50,18,450,0.5738,0.5667,0.7072,0.3728,0.6199,"[[215,76,9],[52,107,142],[41,90,230]]"
phaseA_v2_random_open_loop,50,19,450,0.6299,0.6241,0.8426,0.4324,0.5973,"[[265,30,5],[28,120,153],[36,104,221]]"
