class,source,frequency_hz,q25,median,q75,n_windows,demodulation_hz
OR,random_open_loop,140.625,0.0001549154679063868,0.0003889059080951524,0.0010423264102231902,150,500-2000
OR,random_open_loop,144.53125,9.787310659273657e-05,0.00025235340416344476,0.0006758056152440797,150,500-2000
OR,random_open_loop,148.4375,9.202318856098845e-05,0.00023338416476877843,0.0006268149962068297,150,500-2000
OR,random_open_loop,152.34375,7.044114909105745e-05,0.0001893927660451916,0.0005486497515768069,150,500-2000
OR,random_open_loop,156.25,8.656982744445961e-05,0.000229836566774047,0.0006635298001564267,150,500-2000
OR,random_open_loop,160.15625,7.905996487870564e-05,0.00021721848896602076,0.0006686958164808286,150,500-2000
OR,random_open_loop,164.0625,7.71326803091256e-05,0.000223401575391233,0.0006269254495634903,150,500-2000
OR,random_open_loop,167.96875,8.243062966170373e-05,0.00021611500616058172,0.0005493870721457739,150,500-2000
OR,random_open_loop,171.875,8.608661156899178e-05,0.0002420685784441351,0.0005408560667124542,150,500-2000
OR,random_open_loop,175.78125,7.537615389406228e-05,0.0002286706773623673,0.0006387578006625526,150,500-2000
OR,random_open_loop,179.6875,9.32072627992479e-05,0.0002998529015789661,0.0008420441944797497,150,500-2000
OR,random_open_loop,183.59375,9.843148715640371e-05,0.00042800983987576304,0.0011238171603086217,150,500-2000
OR,random_open_loop,187.5,0.00011227674789246551,0.00033519472645839727,0.001006948218603033,150,500-2000
OR,random_open_loop,191.40625,8.882899392694812e-05,0.0002495298319429968,0.0006975016496495392,150,500-2000
OR,random_open_loop,195.3125,8.65799951017669e-05,0.00022438620246887454,0.00046188088612579017,150,500-2000
OR,random_open_loop,199.21875,6.942064185932319e-05,0.000212709016271623,0.0005496485365262242,150,500-2000
OR,random_open_loop,203.125,6.929081759609812e-05,0.00018349602438881243,0.0005480353519635848,150,500-2000
OR,random_open_loop,207.03125,7.060619820993902e-05,0.0002027821102157079,0.0005600109308769926,150,500-2000
OR,random_open_loop,210.9375,6.976583522091899e-05,0.0002140647478835617,0.000598678596203253,150,500-2000
