method,class,channel,band,real_frac,method_frac,delta
rule,severe,smcAC,20-40,0.002536,0.004557,0.002021
rule,severe,smcAC,40-70,0.002280,0.003226,0.000945
rule,severe,smcAC,70-100,0.002821,0.003379,0.000558
rule,severe,smcAC,100-125,0.002305,0.003076,0.000770
rule,severe,smcDC,0-8,0.909220,0.621272,-0.287949
rule,severe,smcDC,8-20,0.026629,0.098087,0.071458
rule,severe,smcDC,20-40,0.063954,0.276740,0.212786
rule,severe,smcDC,40-70,0.000137,0.002280,0.002143
rule,severe,smcDC,70-100,0.000038,0.000999,0.000961
rule,severe,smcDC,100-125,0.000022,0.000623,0.000601
rule,severe,vib_table,0-8,0.047298,0.016911,-0.030387
rule,severe,vib_table,8-20,0.309386,0.210096,-0.099290
rule,severe,vib_table,20-40,0.216909,0.308400,0.091491
rule,severe,vib_table,40-70,0.125918,0.222519,0.096602
rule,severe,vib_table,70-100,0.287301,0.223985,-0.063316
rule,severe,vib_table,100-125,0.013189,0.018090,0.004901
rule,severe,vib_spindle,0-8,0.210732,0.529914,0.319182
rule,severe,vib_spindle,8-20,0.200274,0.106732,-0.093542
rule,severe,vib_spindle,20-40,0.204689,0.103925,-0.100764
rule,severe,vib_spindle,40-70,0.178395,0.097412,-0.080983
rule,severe,vib_spindle,70-100,0.134462,0.069894,-0.064568
rule,severe,vib_spindle,100-125,0.071450,0.092124,0.020674
rule,severe,AE_table,0-8,0.124164,0.138087,0.013923
rule,severe,AE_table,8-20,0.171550,0.190343,0.018793
rule,severe,AE_table,20-40,0.145076,0.191050,0.045974
rule,severe,AE_table,40-70,0.101338,0.148250,0.046913
rule,severe,AE_table,70-100,0.426352,0.275796,-0.150556
rule,severe,AE_table,100-125,0.031521,0.056474,0.024953
rule,severe,AE_spindle,0-8,0.234738,0.246298,0.011560
rule,severe,AE_spindle,8-20,0.150976,0.123404,-0.027572
rule,severe,AE_spindle,20-40,0.150509,0.204639,0.054131
rule,severe,AE_spindle,40-70,0.099786,0.125982,0.026196
rule,severe,AE_spindle,70-100,0.334079,0.256587,-0.077493
rule,severe,AE_spindle,100-125,0.029911,0.043089,0.013178
random_open_loop,sharp,smcAC,0-8,0.010713,0.010060,-0.000653
random_open_loop,sharp,smcAC,8-20,0.972054,0.925815,-0.046239
random_open_loop,sharp,smcAC,20-40,0.007453,0.015088,0.007635
random_open_loop,sharp,smcAC,40-70,0.003466,0.017492,0.014026
random_open_loop,sharp,smcAC,70-100,0.003211,0.018453,0.015242
random_open_loop,sharp,smcAC,100-125,0.003103,0.013091,0.009988
random_open_loop,sharp,smcDC,0-8,0.841144,0.636461,-0.204683
random_open_loop,sharp,smcDC,8-20,0.071300,0.189322,0.118022
random_open_loop,sharp,smcDC,20-40,0.056334,0.130324,0.073990
random_open_loop,sharp,smcDC,40-70,0.025449,0.016800,-0.008649
random_open_loop,sharp,smcDC,70-100,0.005436,0.016283,0.010848
random_open_loop,sharp,smcDC,100-125,0.000338,0.010809,0.010472
random_open_loop,sharp,vib_table,0-8,0.027573,0.011244,-0.016329
random_open_loop,sharp,vib_table,8-20,0.414325,0.349565,-0.064759
random_open_loop,sharp,vib_table,20-40,0.253753,0.349285,0.095533
random_open_loop,sharp,vib_table,40-70,0.128963,0.124561,-0.004401
random_open_loop,sharp,vib_table,70-100,0.165860,0.146981,-0.018879
random_open_loop,sharp,vib_table,100-125,0.009526,0.018363,0.008837
random_open_loop,sharp,vib_spindle,0-8,0.106931,0.339019,0.232088
random_open_loop,sharp,vib_spindle,8-20,0.299465,0.197777,-0.101688
random_open_loop,sharp,vib_spindle,20-40,0.143018,0.168415,0.025397
random_open_loop,sharp,vib_spindle,40-70,0.236568,0.134635,-0.101933
random_open_loop,sharp,vib_spindle,70-100,0.156027,0.081364,-0.074663
random_open_loop,sharp,vib_spindle,100-125,0.057991,0.078791,0.020800
random_open_loop,sharp,AE_table,0-8,0.066627,0.045895,-0.020732
random_open_loop,sharp,AE_table,8-20,0.356623,0.428620,0.071997
random_open_loop,sharp,AE_table,20-40,0.223879,0.224209,0.000331
random_open_loop,sharp,AE_table,40-70,0.139254,0.140898,0.001644
random_open_loop,sharp,AE_table,70-100,0.166297,0.112434,-0.053863
random_open_loop,sharp,AE_table,100-125,0.047321,0.047944,0.000624
random_open_loop,sharp,AE_spindle,0-8,0.041541,0.040041,-0.001500
random_open_loop,sharp,AE_spindle,8-20,0.373351,0.450988,0.077637
random_open_loop,sharp,AE_spindle,20-40,0.325461,0.274742,-0.050719
random_open_loop,sharp,AE_spindle,40-70,0.131478,0.116541,-0.014937
